,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
1626,dutsen,d uː˥ sʼ eː˩ ŋ,d/ː˥sʼ/ː˩ŋ,2,10,2.6666666666666665
1627,dutsuna,d uː˥ sʼ uː˥ n aː˩,d/ː˥sʼ/ː˥n/ː˩,3,13,2.5
1628,duwatsu,d ʊ˥ w ə˥ sʼ uː˥,d/˥w/˥sʼ/ː˥,3,11,2
1629,duwatsun,d ʊ˥ w ə˥ sʼ ɪ˩ ŋ,d/˥w/˥sʼ/˩ŋ,3,11,2
1630,dynamite,d j n aː˥ m ɪ˥ t e˥,djn/ː˥m/˥t/˥,3,12,2.25
1631,e,ʔ eː˩,ʔ/ː˩,1,4,1.5
1632,eagles,ʔ ɛ˥ ɡʷ l eː˩ s,ʔ/˥ɡʷl/ː˩s,2,10,2.6666666666666665
1633,earth,ʔ ɛ˥ ɽ t h,ʔ/˥ɽth,1,6,2.5
1634,easter,ʔ ɛ˥ s t eː˥ r,ʔ/˥st/ː˥r,2,9,2.3333333333333335
1635,edita,ʔ ɛ˥ d ɪ˥ t ə˩,ʔ/˥d/˥t/˩,3,9,1.5
1636,editan,ʔ ɛ˥ d ɪ˥ t a˩ ŋ,ʔ/˥d/˥t/˩ŋ,3,10,1.75
1637,eh,e˥ ʃ,/˥ʃ,1,3,2
1638,eka,ʔ eː˥ k aː˩,ʔ/ː˥k/ː˩,2,8,2
1639,el,ʔ ɛ˥ l,ʔ/˥l,1,4,1.5
1640,el'e,ʔ ɛ˥ l ʔ eː˥˦,ʔ/˥lʔ/ː˥˦,2,9,2.3333333333333335
1641,elaine,ʔ ɛ˥ l aj˥ n e˥,ʔ/˥l/j˥n/˥,3,10,1.75
1642,ellen,ʔ ɛ˥ l eː˩ ŋ,ʔ/˥l/ː˩ŋ,2,8,2
1643,email,ʔ ɛ˥ m ɪ˥˦ l,ʔ/˥m/˥˦l,2,8,2
1644,emei,ʔ ɛ˥ m iː˩,ʔ/˥m/ː˩,2,7,1.6666666666666667
1645,emti,ʔ ɛ˥ m t iː˩,ʔ/˥mt/ː˩,2,8,2
1646,en'e,ʔ ɛ˥ ŋ ʔ eː˩,ʔ/˥ŋʔ/ː˩,2,8,2
1647,english,ʔ ɛ˥ ŋ ɡʷ l iː˥ ʃ,ʔ/˥ŋɡʷl/ː˥ʃ,2,11,3
1648,enlai,ʔ ɛ˥ n l aj˥,ʔ/˥nl/j˥,2,8,2
1649,er,eː˥ r,/ː˥r,1,4,3
1650,erhu,ʔ ɛ˥ ɽ h uː˩,ʔ/˥ɽh/ː˩,2,8,2
1651,eritrea,ʔ ɛ˥ ɽ ɪ˥ t ɽ eː˥ aː˩,ʔ/˥ɽ/˥tɽ/ː˥/ː˩,4,14,2
1652,et,ʔ ɛ˥ t,ʔ/˥t,1,4,1.5
1653,ethiopia,ʔ ɛ˥ t h iː˥ oː˥ p ɪ˩ aː˩,ʔ/˥th/ː˥/ː˥p/˩/ː˩,5,17,2
1654,europe,ʔ ɛ˥ ʊ˥˦ r oː˥ p eː˥,ʔ/˥/˥˦r/ː˥p/ː˥,4,14,2
1655,fa,ɸ aː˥,ɸ/ː˥,1,4,1.5
1656,fa'ida,ɸ aː˥ ʔ ɪ˥ d aː˩,ɸ/ː˥ʔ/˥d/ː˩,3,11,2
1657,fa'idodi,ɸ aː˥ ʔ ɪ˥ d oː˩ d iː˩,ɸ/ː˥ʔ/˥d/ː˩d/ː˩,4,15,2.2
1658,fabrairu,ɸ a˩ b r aj˥ r ɪ˩,ɸ/˩br/j˥r/˩,3,11,2
1659,face,ɸ ə˩ tʃ eː˩,ɸ/˩tʃ/ː˩,2,8,2
1660,facebook,ɸ ə˩ tʃ eː˩ b oː˥ oː˥ k,ɸ/˩tʃ/ː˩b/ː˥/ː˥k,4,16,2.4
1661,fada,ɸ ə˥ d aː˩,ɸ/˥d/ː˩,2,7,1.6666666666666667
1662,fadakar,ɸ ə˩ d ə˥ k a˩ r,ɸ/˩d/˥k/˩r,3,10,1.75
1663,fadama,ɸ ə˥ d ə˩ m aː˥,ɸ/˥d/˩m/ː˥,3,10,1.75
1664,fadar,ɸ ə˥ d ə˩ r,ɸ/˥d/˩r,2,7,1.6666666666666667
1665,fadarsa,ɸ ə˥ d ə˩ ɽ s aː˥,ɸ/˥d/˩ɽs/ː˥,3,11,2
1666,fadawa,ɸ ə˥ d aː˥ w aː˥,ɸ/˥d/ː˥w/ː˥,3,11,2
1667,fadi,ɸ aː˥ d iː˩,ɸ/ː˥d/ː˩,2,8,2
1668,fadin,ɸ aː˩ d ɪ˥˦ ŋ,ɸ/ː˩d/˥˦ŋ,2,9,2.3333333333333335
1669,fado,ɸ ə˥ d o˥,ɸ/˥d/˥,2,6,1.3333333333333333
1670,fafaroma,ɸ ə˥ ɸ a˩ ɽ oː˩ m ə˩,ɸ/˥ɸ/˩ɽ/ː˩m/˩,4,13,1.8
1671,fage,ɸ ə˥ ɟ eː˥,ɸ/˥ɟ/ː˥,2,7,1.6666666666666667
1672,fagen,ɸ ə˥ ɟ eː˥ ŋ,ɸ/˥ɟ/ː˥ŋ,2,8,2
1673,fahami,ɸ ə˥ h a˩ m iː˥,ɸ/˥h/˩m/ː˥,3,10,1.75
1674,fahari,ɸ ə˥ h a˩ r iː˥,ɸ/˥h/˩r/ː˥,3,10,1.75
1675,fahimce,ɸ aː˥ h ɪ˩ m tʃ eː˩,ɸ/ː˥h/˩mtʃ/ː˩,3,13,2.5
1676,fahimci,ɸ aː˥ h ɪ˩ m tʃ iː˥,ɸ/ː˥h/˩mtʃ/ː˥,3,13,2.5
1677,fahimta,ɸ aː˥ h ɪ˩ m t aː˩,ɸ/ː˥h/˩mt/ː˩,3,12,2.25
1678,fahimtar,ɸ aː˥ h ɪ˩ m t a˩ r,ɸ/ː˥h/˩mt/˩r,3,12,2.25
1679,fahimtarta,ɸ aː˥ h ɪ˩ m t a˥ r t aː˩,ɸ/ː˥h/˩mt/˥rt/ː˩,4,16,2.4
1680,faifan,ɸ aj˥˦ ɸ a˥˦ ŋ,ɸ/j˥˦ɸ/˥˦ŋ,2,10,2.6666666666666665
1681,fakiti,ɸ ə˥ c ɪ˩ t ɪ˥,ɸ/˥c/˩t/˥,3,9,1.5
1682,fakitin,ɸ ə˥ c ɪ˩ t ɪ˥ ŋ,ɸ/˥c/˩t/˥ŋ,3,10,1.75
1683,falastinawa,ɸ a˥ l a˩ s t ɪ˥ n aː˥ w aː˥,ɸ/˥l/˩st/˥n/ː˥w/ː˥,5,18,2.1666666666666665
1684,falmata,ɸ a˥ l m aː˥ t aː˩,ɸ/˥lm/ː˥t/ː˩,3,12,2.25
1685,falmatatu,ɸ a˥ l m ə˥ t ə˥ t ɪ˩,ɸ/˥lm/˥t/˥t/˩,4,13,1.8
1686,falo,ɸ aː˥ l oː˩,ɸ/ː˥l/ː˩,2,8,2
1687,falsafa,ɸ a˥ l s ə˥ ɸ aː˩,ɸ/˥ls/˥ɸ/ː˩,3,11,2
1688,fam,ɸ a˥˦ ŋ,ɸ/˥˦ŋ,1,5,2
1689,fama,ɸ aː˥ m aː˩,ɸ/ː˥m/ː˩,2,8,2
1690,fan,ɸ a˥ ŋ,ɸ/˥ŋ,1,4,1.5
1691,fangali,ɸ a˥ ŋ ɡ ə˥ l iː˥,ɸ/˥ŋɡ/˥l/ː˥,3,11,2
1692,fanke,ɸ ɛ˩ ɲ c eː˥,ɸ/˩ɲc/ː˥,2,8,2
1693,fanni,ɸ a˥ n iː˩,ɸ/˥n/ː˩,2,7,1.6666666666666667
1694,fannin,ɸ a˥ n ɪ˥ ŋ,ɸ/˥n/˥ŋ,2,7,1.6666666666666667
1695,fanning,ɸ a˥ n ɪ˥ ŋ,ɸ/˥n/˥ŋ,2,7,1.6666666666666667
1696,fannoni,ɸ a˥ n oː˥ n iː˩,ɸ/˥n/ː˥n/ː˩,3,11,2
1697,fannonin,ɸ a˥ n oː˥ n ɪ˥ ŋ,ɸ/˥n/ː˥n/˥ŋ,3,11,2
1698,fansa,ɸ a˥ n s ə˩,ɸ/˥ns/˩,2,7,1.6666666666666667
