,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
129,bjezwuměniće,bʲ e z w u m ɪ n i tʃ e,bʲ/zw/m/n/tʃ/,5,13,1.6
130,bjezwuwzaćnje,bʲ e z w u w z a tʃ nʲ e,bʲ/zw/wz/tʃnʲ/,4,14,2.5
131,blackout,b l a ts k o u t,bl/tsk/t,2,9,2
132,blida,b l i d a,bl/d/,2,5,1.5
133,blidarske,b l i d a ʀ s k e,bl/d/ʀsk/,3,9,2
134,blido,b l i d o,bl/d/,2,5,1.5
135,blisko,b l i s k o,bl/sk/,2,6,2
136,bliskosć,b l i s k o s tʃ,bl/sk/stʃ,2,9,2.3333333333333335
137,bliža,b l i ʒ a,bl/ʒ/,2,5,1.5
138,blogu,b l o ɡ u,bl/ɡ/,2,5,1.5
139,bobáňovci,b o b a nʲ o v ts i,b/b/nʲ/vts/,4,11,1.75
140,boha,b o h a,b/h/,2,4,1
141,bohow,b o h o w,b/h/w,2,5,1
142,bohužel,b o h u ʒ e l,b/h/ʒ/l,3,7,1
143,boja,b o j a,b/j/,2,4,1
144,bokom,b o k o m,b/k/m,2,5,1
145,bokow,b o k o w,b/k/w,2,5,1
146,boku,b o k u,b/k/,2,4,1
147,boli,b o l i,b/l/,2,4,1
148,boliwiskej,b o l i w i s k e j,b/l/w/sk/j,4,10,1.2
149,bolostna,b o l o s t n a,b/l/stn/,3,8,1.6666666666666667
150,borkowach,b o ʀ k o w a x,b/ʀk/w/x,3,8,1.25
151,bow,b o w,b/w,1,3,1
152,bože,b o ʒ e,b/ʒ/,2,4,1
153,božeje,b o ʒ e j e,b/ʒ/j/,3,6,1
154,božim,b o ʒ i m,b/ʒ/m,2,5,1
155,božu,b o ʒ u,b/ʒ/,2,4,1
156,braniborska,b ʀ a n i b o ʀ s k a,bʀ/n/b/ʀsk/,4,11,1.75
157,braniborskeho,b ʀ a n i b o ʀ s k e h o,bʀ/n/b/ʀsk/h/,5,13,1.6
158,braniborskej,b ʀ a n i b o ʀ s k e j,bʀ/n/b/ʀsk/j,4,12,1.6
159,braniborskeje,b ʀ a n i b o ʀ s k e j e,bʀ/n/b/ʀsk/j/,5,13,1.6
160,braniborskich,b ʀ a n i b o ʀ s k i x,bʀ/n/b/ʀsk/x,4,12,1.6
161,braniborsku,b ʀ a n i b o ʀ s k u,bʀ/n/b/ʀsk/,4,11,1.75
162,branšow,b ʀ a n ʃ o w,bʀ/nʃ/w,2,7,1.6666666666666667
163,bratr,b ʀ a t ʀ,bʀ/tʀ,1,5,2
164,bratra,b ʀ a t ʀ a,bʀ/tʀ/,2,6,2
165,bratrowska,b ʀ a t ʀ o w s k a,bʀ/tʀ/wsk/,3,10,2.3333333333333335
166,bratrowskej,b ʀ a t ʀ o w s k e j,bʀ/tʀ/wsk/j,3,11,2
167,brać,b ʀ a tʃ,bʀ/tʃ,1,5,2
168,brała,b ʀ a w a,bʀ/w/,2,5,1.5
169,braška,b ʀ a ʃ k a,bʀ/ʃk/,2,6,2
170,bremerhaven,b ʀ e m e ʀ h a v e n,bʀ/m/ʀh/v/n,4,11,1.4
171,bretschneiderec,b ʀ e ts x n e i d e ʀ e ts,bʀ/tsxn/d/ʀ/ts,4,15,2
172,britaniskeje,b ʀ i t a n i s k e j e,bʀ/t/n/sk/j/,5,12,1.4
173,britiske,b ʀ i t i s k e,bʀ/t/sk/,3,8,1.6666666666666667
174,brjazynska,b ʀʲ a z ɨ n s k a,bʀʲ/z/nsk/,3,10,2.3333333333333335
175,bronjo,b ʀ o nʲ o,bʀ/nʲ/,2,6,2
176,brošurow,b ʀ o ʃ u ʀ o w,bʀ/ʃ/ʀ/w,3,8,1.25
177,brunicoweje,b ʀ u n i ts o w e j e,bʀ/n/ts/w/j/,5,12,1.4
178,brunicowu,b ʀ u n i ts o w u,bʀ/n/ts/w/,4,10,1.5
179,brunicowych,b ʀ u n i ts o w ɨ x,bʀ/n/ts/w/x,4,11,1.4
180,brunicy,b ʀ u n i ts ɨ,bʀ/n/ts/,3,8,1.6666666666666667
181,brutalneho,b ʀ u t a l n e h o,bʀ/t/ln/h/,4,10,1.5
182,brězan,b ʀ ɪ z a n,bʀ/z/n,2,6,1.3333333333333333
183,brězana,b ʀ ɪ z a n a,bʀ/z/n/,3,7,1.3333333333333333
184,brězanej,b ʀ ɪ z a n e j,bʀ/z/n/j,3,8,1.25
185,brězowčenjo,b ʀ ɪ z o w tʃ e nʲ o,bʀ/z/wtʃ/nʲ/,4,12,2
186,bu,b u,b/,1,2,1
187,bubnowarjow,b u b n o w a ʀʲ o w,b/bn/w/ʀʲ/w,4,11,1.4
188,buchu,b u x u,b/x/,2,4,1
189,budu,b u d u,b/d/,2,4,1
190,budyska,b u d ɨ s k a,b/d/sk/,3,7,1.3333333333333333
191,budyske,b u d ɨ s k e,b/d/sk/,3,7,1.3333333333333333
192,budyski,b u d ɨ s k i,b/d/sk/,3,7,1.3333333333333333
193,budyskich,b u d ɨ s k i x,b/d/sk/x,3,8,1.25
194,budyskim,b u d ɨ s k i m,b/d/sk/m,3,8,1.25
195,budyšin,b u d ɨ ʃ i n,b/d/ʃ/n,3,7,1
196,budyšina,b u d ɨ ʃ i n a,b/d/ʃ/n/,4,8,1
197,budyšinje,b u d ɨ ʃ i nʲ e,b/d/ʃ/nʲ/,4,9,1.25
198,budyšinkom,b u d ɨ ʃ i n k o m,b/d/ʃ/nk/m,4,10,1.2
199,budyšinom,b u d ɨ ʃ i n o m,b/d/ʃ/n/m,4,9,1
200,budyšinčenjo,b u d ɨ ʃ i n tʃ e nʲ o,b/d/ʃ/ntʃ/nʲ/,5,13,1.6
201,budźe,b u dʒ e,b/dʒ/,2,5,1.5
202,budźeće,b u dʒ e tʃ e,b/dʒ/tʃ/,3,8,1.6666666666666667
203,budźeš,b u dʒ e ʃ,b/dʒ/ʃ,2,6,1.3333333333333333
204,budźtej,b u dʒ t e j,b/dʒt/j,2,7,1.6666666666666667
205,bukecach,b u k e ts a x,b/k/ts/x,3,8,1.25
206,bukej,b u k e j,b/k/j,2,5,1
207,bukoweje,b u k o w e j e,b/k/w/j/,4,8,1
208,bul,b u l,b/l,1,3,1
209,bulwarizacije,b u l w a ʀ i z a ts i j e,b/lw/ʀ/z/ts/j/,6,14,1.3333333333333333
210,bunclach,b u n ts l a x,b/ntsl/x,2,8,2
211,burow,b u ʀ o w,b/ʀ/w,2,5,1
212,busom,b u s o m,b/s/m,2,5,1
213,busowych,b u s o w ɨ x,b/s/w/x,3,7,1
214,busta,b u s t a,b/st/,2,5,1.5
215,by,b ɨ,b/,1,2,1
216,bych,b ɨ x,b/x,1,3,1
217,bychmoj,b ɨ x m o j,b/xm/j,2,6,1.3333333333333333
218,bychmy,b ɨ x m ɨ,b/xm/,2,5,1.5
219,bychu,b ɨ x u,b/x/,2,4,1
220,bydlachu,b ɨ d l a x u,b/dl/x/,3,7,1.3333333333333333
221,bydlacy,b ɨ d l a ts ɨ,b/dl/ts/,3,8,1.6666666666666667
222,bydlacych,b ɨ d l a ts ɨ x,b/dl/ts/x,3,9,1.5
223,bydlenja,b ɨ d l e nʲ a,b/dl/nʲ/,3,8,1.6666666666666667
224,bydlenje,b ɨ d l e nʲ e,b/dl/nʲ/,3,8,1.6666666666666667
225,bydlić,b ɨ d l i tʃ,b/dl/tʃ,2,7,1.6666666666666667
226,bydlił,b ɨ d l i w,b/dl/w,2,6,1.3333333333333333
227,bytosć,b ɨ t o s tʃ,b/t/stʃ,2,7,1.6666666666666667
228,bywa,b ɨ w a,b/w/,2,4,1
229,bywšej,b ɨ w ʃ e j,b/wʃ/j,2,6,1.3333333333333333
230,być,b ɨ tʃ,b/tʃ,1,4,1.5
231,był,b ɨ w,b/w,1,3,1
232,była,b ɨ w a,b/w/,2,4,1
233,było,b ɨ w o,b/w/,2,4,1
234,byłoj,b ɨ w o j,b/w/j,2,5,1
235,byštej,b ɨ ʃ t e j,b/ʃt/j,2,6,1.3333333333333333
236,bóle,b ʊ l e,b/l/,2,4,1
237,bórkowska,b ʊ ʀ k o w s k a,b/ʀk/wsk/,3,9,2
238,bórze,b ʊ ʀ z e,b/ʀz/,2,5,1.5
239,bě,b ɪ,b/,1,2,1
240,běch,b ɪ x,b/x,1,3,1
241,běchmy,b ɪ x m ɨ,b/xm/,2,5,1.5
242,běchu,b ɪ x u,b/x/,2,4,1
243,běhu,b ɪ h u,b/h/,2,4,1
244,běrny,b ɪ ʀ n ɨ,b/ʀn/,2,5,1.5
245,běrow,b ɪ ʀ o w,b/ʀ/w,2,5,1
246,běłeje,b ɪ w e j e,b/w/j/,3,6,1
247,běše,b ɪ ʃ e,b/ʃ/,2,4,1
248,běštaj,b ɪ ʃ t a j,b/ʃt/j,2,6,1.3333333333333333
249,běžeše,b ɪ ʒ e ʃ e,b/ʒ/ʃ/,3,6,1
250,běži,b ɪ ʒ i,b/ʒ/,2,4,1
251,błudźenkow,b w u dʒ e n k o w,bw/dʒ/nk/w,3,10,1.75
252,błyskami,b w ɨ s k a m i,bw/sk/m/,3,8,1.6666666666666667
253,błótach,b w ʊ t a x,bw/t/x,2,6,1.3333333333333333
254,cailliau,ts a i l l i a u,ts/ll/,2,9,2
255,ceciliji,ts e ts i l i j i,ts/ts/l/j/,4,10,1.5
256,centralne,ts e n t ʀ a l n e,ts/ntʀ/ln/,3,10,2.3333333333333335
257,centralneje,ts e n t ʀ a l n e j e,ts/ntʀ/ln/j/,4,12,2
258,centralnu,ts e n t ʀ a l n u,ts/ntʀ/ln/,3,10,2.3333333333333335
259,centralnym,ts e n t ʀ a l n ɨ m,ts/ntʀ/ln/m,3,11,2
260,centrum,ts e n t ʀ u m,ts/ntʀ/m,2,8,2
261,centrumje,ts e n t ʀ u mʲ e,ts/ntʀ/mʲ/,3,10,2.3333333333333335
262,charakteristiske,x a ʀ a k t e ʀ i s t i s k e,x/ʀ/kt/ʀ/st/sk/,6,15,1.5
263,charakterizuje,x a ʀ a k t e ʀ i z u j e,x/ʀ/kt/ʀ/z/j/,6,13,1.1666666666666667
264,chce,x ts e,xts/,1,4,3
265,chcedźa,x ts e dʒ a,xts/dʒ/,2,7,2.5
266,chcemoj,x ts e m o j,xts/m/j,2,7,1.6666666666666667
267,chcemy,x ts e m ɨ,xts/m/,2,6,2
268,chcemy-li,x ts e m ɨ l i,xts/m/l/,3,8,1.6666666666666667
269,chcetaj,x ts e t a j,xts/t/j,2,7,1.6666666666666667
270,chcetej,x ts e t e j,xts/t/j,2,7,1.6666666666666667
271,chceće,x ts e tʃ e,xts/tʃ/,2,7,2.5
272,chceš,x ts e ʃ,xts/ʃ,1,5,2
273,chcu,x ts u,xts/,1,4,3
274,chcych,x ts ɨ x,xts/x,1,5,2
275,chcychmy,x ts ɨ x m ɨ,xts/xm/,2,7,2.5
276,chcyli,x ts ɨ l i,xts/l/,2,6,2
277,chcył,x ts ɨ w,xts/w,1,5,2
278,chcyła,x ts ɨ w a,xts/w/,2,6,2
279,chcyłoj,x ts ɨ w o j,xts/w/j,2,7,1.6666666666666667
280,chcyše,x ts ɨ ʃ e,xts/ʃ/,2,6,2
281,chcyštej,x ts ɨ ʃ t e j,xts/ʃt/j,2,8,2
282,chelno,x e l n o,x/ln/,2,5,1.5
283,chibazo,x i b a z o,x/b/z/,3,6,1
284,chile,x i l e,x/l/,2,4,1
285,chinjenjo,x i nʲ e nʲ o,x/nʲ/nʲ/,3,8,1.6666666666666667
286,chlěba,x l ɪ b a,xl/b/,2,5,1.5
287,chlěbom,x l ɪ b o m,xl/b/m,2,6,1.3333333333333333
288,chodźi,x o dʒ i,x/dʒ/,2,5,1.5
289,chodźić,x o dʒ i tʃ,x/dʒ/tʃ,2,7,1.6666666666666667
290,chodźił,x o dʒ i w,x/dʒ/w,2,6,1.3333333333333333
291,cholowy,x o l o w ɨ,x/l/w/,3,6,1
292,chora,x o ʀ a,x/ʀ/,2,4,1
293,chorowaći,x o ʀ o w a tʃ i,x/ʀ/w/tʃ/,4,9,1.25
294,chorownje,x o ʀ o w nʲ e,x/ʀ/wnʲ/,3,8,1.6666666666666667
295,chory,x o ʀ ɨ,x/ʀ/,2,4,1
296,choćebuska,x o tʃ e b u s k a,x/tʃ/b/sk/,4,10,1.5
297,choćebuskeho,x o tʃ e b u s k e h o,x/tʃ/b/sk/h/,5,12,1.4
298,choćebuskim,x o tʃ e b u s k i m,x/tʃ/b/sk/m,4,11,1.4
299,choćebuzom,x o tʃ e b u z o m,x/tʃ/b/z/m,4,10,1.2
300,choćebuzu,x o tʃ e b u z u,x/tʃ/b/z/,4,9,1.25
301,christian,x ʀ i s t i a n,xʀ/st/n,2,8,1.6666666666666667
302,chrósćic,x ʀ ʊ s tʃ i ts,xʀ/stʃ/ts,2,9,2.3333333333333335
303,chrósćicach,x ʀ ʊ s tʃ i ts a x,xʀ/stʃ/ts/x,3,11,2
304,chróšćanskim,x ʀ ʊ ʃ tʃ a n s k i m,xʀ/ʃtʃ/nsk/m,3,12,2.25
305,chróšćenjo,x ʀ ʊ ʃ tʃ e nʲ o,xʀ/ʃtʃ/nʲ/,3,10,2.3333333333333335
306,chutne,x u t n e,x/tn/,2,5,1.5
307,chutnje,x u t nʲ e,x/tnʲ/,2,6,2
308,chwile,x w i l e,xw/l/,2,5,1.5
309,chódnik,x ʊ d n i k,x/dn/k,2,6,1.3333333333333333
310,chór,x ʊ ʀ,x/ʀ,1,3,1
311,chórje,x ʊ ʀʲ e,x/ʀʲ/,2,5,1.5
312,chórowe,x ʊ ʀ o w e,x/ʀ/w/,3,6,1
313,chětro,x ɪ t ʀ o,x/tʀ/,2,5,1.5
314,chěže,x ɪ ʒ e,x/ʒ/,2,4,1
315,chěžkarjo,x ɪ ʒ k a ʀʲ o,x/ʒk/ʀʲ/,3,8,1.6666666666666667
316,chěžnych,x ɪ ʒ n ɨ x,x/ʒn/x,2,6,1.3333333333333333
317,chěžu,x ɪ ʒ u,x/ʒ/,2,4,1
318,chłostajomne,x w o s t a j o m n e,xw/st/j/mn/,4,11,1.75
319,chłostanskich,x w o s t a n s k i x,xw/st/nsk/x,3,11,2
320,chłódkojty,x w ʊ d k o j t ɨ,xw/dk/jt/,3,9,2
321,chłódnosć,x w ʊ d n o s tʃ,xw/dn/stʃ,2,9,2.3333333333333335
322,chłódźa,x w ʊ dʒ a,xw/dʒ/,2,6,2
323,chłódźaki,x w ʊ dʒ a k i,xw/dʒ/k/,3,8,1.6666666666666667
324,conje,ts o nʲ e,ts/nʲ/,2,6,2
325,cosima,ts o s i m a,ts/s/m/,3,7,1.3333333333333333
326,cunjo,ts u nʲ o,ts/nʲ/,2,6,2
327,cuzby,ts u z b ɨ,ts/zb/,2,6,2
328,cuzeho,ts u z e h o,ts/z/h/,3,7,1.3333333333333333
329,cuzy,ts u z ɨ,ts/z/,2,5,1.5
330,cykwinskich,ts ɨ k w i n s k i x,ts/kw/nsk/x,3,11,2
