,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
8330,kilometre,cʰ i l ɔ mʲ i t a,cʰ/l/mʲ/t/,4,10,1.5
8331,kilometre,cʰ i l ɔ mʲ iː t a,cʰ/l/mʲ/ːt/,4,11,1.75
8332,kilometres,cʰ i l ɔ mʲ i t ɛ z,cʰ/l/mʲ/t/z,4,11,1.4
8333,kim,cʰ i m,cʰ/m,1,4,1.5
8334,kind,kʰ aj n,kʰ/jn,1,5,2
8335,kind,kʰ aj n d,kʰ/jnd,1,6,2.5
8336,kindergarten,cʰ i n d a ɡ a t ɛ n,cʰ/nd/ɡ/t/n,4,11,1.4
8337,kindly,kʰ aj n d ʎ i,kʰ/jndʎ/,2,8,3
8338,kinds,kʰ aj n d z,kʰ/jndz,1,7,3
8339,kinds,kʰ aj n s,kʰ/jns,1,6,2.5
8340,king,cʰ i ŋ,cʰ/ŋ,1,4,1.5
8341,king,cʰ i ŋ ɡ,cʰ/ŋɡ,1,5,2
8342,kingdom,cʰ i ŋ d ɔ m,cʰ/ŋd/m,2,7,1.6666666666666667
8343,kingdoms,cʰ i ŋ d ɔ m z,cʰ/ŋd/mz,2,8,2
8344,kings,cʰ i ŋ ɡ s,cʰ/ŋɡs,1,6,2.5
8345,kings,cʰ i ŋ ɡ z,cʰ/ŋɡz,1,6,2.5
8346,kingston,cʰ i ŋ s t u n,cʰ/ŋst/n,2,8,2
8347,kirby,kʰ aː bʲ i,kʰ/ːbʲ/,2,7,2.5
8348,kiss,cʰ i s,cʰ/s,1,4,1.5
8349,kissed,cʰ i s t,cʰ/st,1,5,2
8350,kissing,cʰ i s i ŋ,cʰ/s/ŋ,2,6,1.3333333333333333
8351,kissing,cʰ i s i ŋ ɡ,cʰ/s/ŋɡ,2,7,1.6666666666666667
8352,kit,cʰ i t,cʰ/t,1,4,1.5
8353,kitchen,cʰ i tʃ ɛ n,cʰ/tʃ/n,2,7,1.6666666666666667
8354,kittens,cʰ i t ɛ n z,cʰ/t/nz,2,7,1.6666666666666667
8355,kitty,cʰ i tʲ i,cʰ/tʲ/,2,6,2
8356,klein,k l aj n,kl/jn,1,5,2
8357,kneading,ɲ iː dʲ i ŋ ɡ,ɲ/ːdʲ/ŋɡ,2,8,2
