,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
159,اپنی,ʊ p n iː,/pn/ː,2,5,1.5
160,اپنے,ʊ p n eː,/pn/ː,2,5,1.5
161,اپوزیشن,ə p oː z iː ʃ ə n,/p/ːz/ːʃ/n,4,10,1.5
162,اچھا,ə t͡ʃ t͡ʃʰ ɑː,/t͡ʃt͡ʃʰ/ː,2,10,4
163,اچھی,ə t͡ʃʰ iː,/t͡ʃʰ/ː,2,7,2.5
164,اک,ə k,/k,1,2,1
165,اکثر,ə k s ə ɾ,/ks/ɾ,2,5,1.5
166,اکشے,ɑː k e ʃ eː,/ːk/ʃ/ː,3,7,1.3333333333333333
167,اگر,ə ɡ ə ɾ,/ɡ/ɾ,2,4,1
168,اگست,ə ɡ s ə t̪,/ɡs/t̪,2,6,2
169,اگلی,ə ɡ l iː,/ɡl/ː,2,5,1.5
170,اہتمام,ə eʱ t̪ m ɑː m,/ʱt̪m/ːm,2,9,3
171,اہل,ə ɦ ə l,/ɦ/l,2,4,1
172,اہم,ə ɦ m,/ɦm,1,3,2
173,اہو,ə ɦ oː,/ɦ/ː,2,4,1
174,ایئر,ə ə̯ i ə ɾ,/̯/ɾ,2,6,1
175,ایجنسی,eː d͡ʒ ə ɳ s iː,/ːd͡ʒ/ɳs/ː,3,10,2.3333333333333335
176,ایس,iː s,/ːs,1,3,2
177,ایسا,iː s ɑː,/ːs/ː,2,5,1.5
178,ایسی,iː s iː,/ːs/ː,2,5,1.5
179,ایسے,iː s eː,/ːs/ː,2,5,1.5
180,ایشوریا,iː ʃ ʋ ə ɾ j ɑː,/ːʃʋ/ɾj/ː,3,9,2
181,ایشیا,iː ʃ j ɑː,/ːʃj/ː,2,6,2
182,ایف,iː f,/ːf,1,3,2
183,ایفیکٹ,iː f iː k ɪ ʈ,/ːf/ːk/ʈ,3,8,1.6666666666666667
184,ایل,ə eː l,/ːl,1,4,2
185,ایم,iː m,/ːm,1,3,2
186,این,ə iː n,/ːn,1,4,2
187,ایونٹ,ɛː ʋ ʈ,/ːʋʈ,1,4,3
188,ایٹ,ə eː ʈ,/ːʈ,1,4,2
189,ایڈ,iː ʊ ɖ,/ː/ɖ,2,4,1
190,ایک,iː k,/ːk,1,3,2
191,ایکس,iː k s,/ːks,1,4,3
192,اے,ə eː,/ː,1,3,1
193,بااختیار,b ɑː ɑː x t̪ j ɑː ɾ,b/ː/ːxt̪j/ːɾ,3,12,2.25
194,باب,b ɑː b,b/ːb,1,4,1.5
195,بابر,b ɑː b ɪ ɾ,b/ːb/ɾ,2,6,1.3333333333333333
196,بات,b ɑː t̪,b/ːt̪,1,5,2
197,باتوں,b ɑː t̪ ũː,b/ːt̪ũː,1,7,3
198,باتیں,b ɑː t̪ ẽː,b/ːt̪ẽː,1,7,3
199,بادشاہ,b ɑː d̪ ʃ ɑː ɦ,b/ːd̪ʃ/ːɦ,2,9,2.3333333333333335
200,بادی,b ɑː d̪ iː,b/ːd̪/ː,2,7,1.6666666666666667
201,بار,b ɑː ɾ,b/ːɾ,1,4,1.5
202,بارش,b ɑː ɾ ɪ ʃ,b/ːɾ/ʃ,2,6,1.3333333333333333
203,بارود,b ɑː ɾ uː d̪,b/ːɾ/ːd̪,2,8,2
204,بارہواں,b ɑː ɾ ɦ ʋ ɑ̃ː,b/ːɾɦʋ/̃ː,2,9,2.3333333333333335
205,بارہویں,b ɑː ɾ ɦ ɔː ẽː,b/ːɾɦ/ːẽː,2,9,2.3333333333333335
206,بارے,b ɑː ɾ eː,b/ːɾ/ː,2,6,1.3333333333333333
207,بازار,b ɑː z ɑː ɾ,b/ːz/ːɾ,2,7,1.6666666666666667
208,بازی,b ɑː z iː,b/ːz/ː,2,6,1.3333333333333333
209,باعث,b ɑː ʔ s eː,b/ːʔs/ː,2,7,1.6666666666666667
210,باغ,b ɑː ɣ,b/ːɣ,1,4,1.5
211,بالا,b ɑː l ɑː,b/ːl/ː,2,6,1.3333333333333333
212,بالی,b ɑː l iː,b/ːl/ː,2,6,1.3333333333333333
213,باوجود,b ɑː ɔː d͡ʒ uː d̪ᵊ,b/ː/ːd͡ʒ/ːd̪ᵊ,3,13,2.5
214,باکسر,b ɑː k s ə ɾ,b/ːks/ɾ,2,7,1.6666666666666667
215,باکسنگ,b ɑː k s ŋ ɡ,b/ːksŋɡ,1,7,3
216,باہر,b ɑː ɦ ə ɾ,b/ːɦ/ɾ,2,6,1.3333333333333333
217,باہم,b ɑː ɦ m,b/ːɦm,1,5,2
218,باہمی,b ɑː ɦ m iː,b/ːɦm/ː,2,7,1.6666666666666667
219,بت,b ʊ t̪,b/t̪,1,4,1.5
220,بتا,b ə t̪ ə n,b/t̪/n,2,6,1.3333333333333333
221,بتایا,b ə t̪ ɑː j ɑː,b/t̪/ːj/ː,3,9,1.5
222,بتدریج,b ə t̪ d̪ ə ɾ iː d͡ʒ,b/t̪d̪/ɾ/ːd͡ʒ,3,13,2.5
223,بجائے,b ɪ d͡ʒ ɑː eː,b/d͡ʒ/ː/ː,3,9,1.5
224,بجلی,b ɪ d͡ʒ l iː,b/d͡ʒl/ː,2,8,2
225,بجٹ,b ɪ d͡ʒ ʈ,b/d͡ʒʈ,1,6,2.5
226,بجے,b ɪ d͡ʒ eː,b/d͡ʒ/ː,2,7,1.6666666666666667
227,بحال,b ɦ ɑː l,bɦ/ːl,1,5,2
228,بحث,b ə ɦ s eː,b/ɦs/ː,2,6,1.3333333333333333
229,بد,b ə d̪,b/d̪,1,4,1.5
230,بدترین,b ə d̪ ə t̪ ɾ iː n,b/d̪/t̪ɾ/ːn,3,11,2
231,بدل,b ə d̪ ə l,b/d̪/l,2,6,1.3333333333333333
232,بدلتی,b ə d̪ l t̪ iː,b/d̪lt̪/ː,2,9,2.3333333333333335
233,بدن,b ə d̪ ə n,b/d̪/n,2,6,1.3333333333333333
234,بدہن,b ə d̪ ɦ ə n,b/d̪ɦ/n,2,7,1.6666666666666667
235,بر,b ə ɾ,b/ɾ,1,3,1
236,برائے,b ə ɾ ɑː eː,b/ɾ/ː/ː,3,7,1
237,برابر,b ə ɾ ɑː b ɪ ɾ,b/ɾ/ːb/ɾ,3,8,1.25
238,برامد,b ə ɾ ɑː m d̪,b/ɾ/ːmd̪,2,8,2
239,برباد,b ə ɾ b ɑː d̪,b/ɾb/ːd̪,2,8,2
240,برتن,b ə ɾ t̪ ə n,b/ɾt̪/n,2,7,1.6666666666666667
241,برداشت,b ə ɾ d̪ ɑː ʃ ə t̪,b/ɾd̪/ːʃ/t̪,3,11,2
242,برس,b ə ɾ s,b/ɾs,1,4,1.5
243,برستے,b ə ɾ ə s t̪ eː,b/ɾ/st̪/ː,3,9,1.5
244,برسر,b ə ɾ s ə ɾ,b/ɾs/ɾ,2,6,1.3333333333333333
245,برسوں,b ə ɾ s õː,b/ɾsõː,1,6,2.5
246,برصغیرکے,b ə ɾ s ɣ j ɪ ɾ k ə eː,b/ɾsɣj/ɾk/ː,3,12,2
247,برطانوی,b ə ɾ t̪ ɑ̃ː ʋ iː,b/ɾt̪/̃ːʋ/ː,3,11,2
248,برلن,b ə ɾ l ə n,b/ɾl/n,2,6,1.3333333333333333
