,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
131,aelezwe,ɑ ɛ l ɛ z w ɛ,/l/zw/,3,7,1.5
132,aenda,ɑ ɛ n d ɑ,/nd/,2,5,2
133,aendavyo,ɑ ɛ n d ɑ v j ɔ,/nd/vj/,3,8,2
134,aende,ɑ ɛ n d ɛ,/nd/,2,5,2
135,aendelee,ɑ ɛ n d ɛ l ɛː,/nd/l/ː,3,8,1.3333333333333333
136,aendesha,ɑ ɛ n d ɛ ʃ ɑ,/nd/ʃ/,3,7,1.5
137,aepuke,ɑ ɛ p u k ɛ,/p/k/,3,6,1
138,afadhali,ɑ f ɑ ð ɑ l i,/f/ð/l/,4,7,1
139,afafanue,ɑ f ɑ f ɑ n u ɛ,/f/f/n/,4,8,1
140,afahamu,ɑ f ɑ h ɑ m u,/f/h/m/,4,7,1
141,afande,ɑ f ɑ n d ɛ,/f/nd/,3,6,1.5
142,afanikiwe,ɑ f ɑ n i k i w ɛ,/f/n/k/w/,5,9,1
143,afanye,ɑ f ɑ ɲ ɛ,/f/ɲ/,3,5,1
144,afariki,ɑ f ɑ ɾ i k i,/f/ɾ/k/,4,7,1
145,afc,ɑ f k,/fk,1,3,2
146,afcon,ɑ f k ɔ n,/fk/n,2,5,1.5
147,afghanistan,ɑ f ɣ ɑ n i s t ɑ n,/fɣ/n/st/n,4,10,1.5
148,afghanstani,ɑ f ɣ ɑ n s t ɑ n i,/fɣ/nst/n/,4,10,2
149,afika,ɑ f i k ɑ,/f/k/,3,5,1
150,afikapo,ɑ f i k ɑ p ɔ,/f/k/p/,4,7,1
151,afisa,ɑ f i s ɑ,/f/s/,3,5,1
152,afisi,ɑ f i s i,/f/s/,3,5,1
153,afolabi,ɑ f ɔ l ɑ ɓ i,/f/l/ɓ/,4,7,1
154,africa,ɑ f ɾ i k,/fɾ/k,2,5,1.5
155,african,ɑ f ɾ i k ɑ n,/fɾ/k/n,3,7,1.3333333333333333
156,afrika,ɑ f ɾ i k ɑ,/fɾ/k/,3,6,1.5
157,afrikan,ɑ f ɾ i k ɑ n,/fɾ/k/n,3,7,1.3333333333333333
158,afrka,ɑ f ɾ k ɑ,/fɾk/,2,5,3
159,afro,ɑ f ɾ ɔ,/fɾ/,2,4,2
160,afroshirazi,ɑ f ɾ ɔ ʃ i ɾ ɑ z i,/fɾ/ʃ/ɾ/z/,5,10,1.25
161,afuate,ɑ f u ɑ t ɛ,/f/t/,3,6,1
162,afueni,ɑ f u ɛ n i,/f/n/,3,6,1
163,afukuze,ɑ f u k u z ɛ,/f/k/z/,4,7,1
164,afumbue,ɑ f u m b u ɛ,/f/mb/,3,7,1.5
165,afundishe,ɑ f u n d i ʃ ɛ,/f/nd/ʃ/,4,8,1.3333333333333333
166,afunguka,ɑ f u ŋ ɡ u k ɑ,/f/ŋɡ/k/,4,8,1.3333333333333333
167,afuraha,ɑ f u ɾ ɑ h ɑ,/f/ɾ/h/,4,7,1
168,afurahie,ɑ f u ɾ ɑ h i ɛ,/f/ɾ/h/,4,8,1
169,afya,ɑ f j ɑ,/fj/,2,4,2
170,afyaya,ɑ f j ɑ j ɑ,/fj/j/,3,6,1.5
171,aga,ɑ ɠ ɑ,/ɠ/,2,3,1
172,agano,ɑ ɠ ɑ n ɔ,/ɠ/n/,3,5,1
173,agape,ɑ ɠ ɑ p ɛ,/ɠ/p/,3,5,1
174,agca,ɑ ɠ k,/ɠk,1,3,2
175,agenda,ɑ ɠ ɛ n d ɑ,/ɠ/nd/,3,6,1.5
176,aggrey,ɑ ɠ ɾ i,/ɠɾ/,2,4,2
177,aghalabu,ɑ ɣ ɑ l ɑ ɓ u,/ɣ/l/ɓ/,4,7,1
178,agina,ɑ ɠ i n ɑ,/ɠ/n/,3,5,1
179,agizo,ɑ ɠ i z ɔ,/ɠ/z/,3,5,1
180,agnes,ɑ ɠ n ɛ s,/ɠn/s,2,5,1.5
181,agosti,ɑ ɠ ɔ s t i,/ɠ/st/,3,6,1.5
182,agostino,ɑ ɠ ɔ s t i n ɔ,/ɠ/st/n/,4,8,1.3333333333333333
183,agrey,ɑ ɠ ɾ ɛ j,/ɠɾ/j,2,5,1.5
184,aguaruna,ɑ ɠ u ɑ ɾ u n ɑ,/ɠ/ɾ/n/,4,8,1
185,agustino,ɑ ɠ u s t i n ɔ,/ɠ/st/n/,4,8,1.3333333333333333
186,aguswe,ɑ ɠ u s w ɛ,/ɠ/sw/,3,6,1.5
187,agwe,ɑ ɠ w ɛ,/ɠw/,2,4,2
188,aha,ɑ h ɑ,/h/,2,3,1
189,ahadi,ɑ h ɑ ɗ i,/h/ɗ/,3,5,1
190,ahafo,ɑ h ɑ f ɔ,/h/f/,3,5,1
191,ahamie,ɑ h ɑ m i ɛ,/h/m/,3,6,1
192,ahamishwe,ɑ h ɑ m i ʃ w ɛ,/h/m/ʃw/,4,8,1.3333333333333333
193,ahangaika,ɑ h ɑ ŋ ɡ ɑ i k ɑ,/h/ŋɡ/k/,4,9,1.3333333333333333
194,ahidi,ɑ h i ɗ i,/h/ɗ/,3,5,1
195,ahisipo,ɑ h i s i p ɔ,/h/s/p/,4,7,1
196,ahmada,ɑ h m ɑ ɗ ɑ,/hm/ɗ/,3,6,1.5
197,ahmed,ɑ h m ɛ d,/hm/d,2,5,1.5
198,ahooni,ɑ h ɔː n i,/h/ːn/,3,6,1.5
199,ahsante,s ɑ t ɛ,s/t/,2,4,1
200,ahukumiwa,ɑ h u k u m i w ɑ,/h/k/m/w/,5,9,1
201,ahusishwe,ɑ h u s i ʃ w ɛ,/h/s/ʃw/,4,8,1.3333333333333333
